rmsFX,maxFX,stdFX,rmsFY,maxFY,stdFY,rmsFZ,maxFZ,stdFZ,rmsVX,kVX,rmsVY,kVY,rmsVZ,kVZ,meanEA,stdEA,meanDesg,maxDesg
0.932972856980866,3.74400000000000,0.842470978171437,1.75287750141221,10.7240000000000,1.63596355196501,1.32982560988029,4.56000000000000,1.12749054746396,0.0769144717983854,3.13229315877152,0.0775092262032445,3.12545908945102,0.0786969503961114,3.13294987190079,-5.98042370819355e-05,0.00222960896852145,39.6435188033333,48.8926173200000
2.12960876416318,8.42700000000000,1.86498131245185,3.34266254604954,14.3020000000000,3.14995496202528,1.97056186014154,7.41000000000000,1.68355469926420,0.0854111471939190,3.27517160343322,0.0857160611794163,3.23598230364118,0.0878954964847947,3.27735659725098,0.0385560735405757,0.0129410592312526,41.7355065066667,49.5708150400000
3.20851375336981,11.5340000000000,2.67209452494212,5.35785528658259,20.8260000000000,4.81603047940088,3.25544439011756,11.8150000000000,2.68969130045296,0.0957669032841702,3.26272047496973,0.0943331040186945,3.19454257383725,0.0987424829043009,3.24320967593245,0.0665705166950592,0.0191534348512614,43.7038674866667,50.3028672700000
3.65869821419568,11.7880000000000,2.99256143073178,6.16558262158738,24.1480000000000,5.53247486514689,3.72040127446738,12.8520000000000,3.12134151984533,0.0990398761263722,3.19198069952134,0.0972451455336445,3.14304333848131,0.102258733469961,3.13136496748225,0.0800028436105680,0.0228596721586783,45.5975251200000,51.0836520300000
4.11043643544921,12.5550000000000,2.97976377202315,6.20969862596835,24.3370000000000,5.74739194454523,3.48967222028878,11.7040000000000,3.29465870161374,0.0850910944935499,3.30304045973388,0.0840963065060304,3.25310074595016,0.0920561384381127,3.16943455416727,0.0891964218189809,0.0246880375029508,47.4437605700000,52.2503292200000
4.18465995297436,14.2910000000000,2.98707309154458,6.34160487544729,26.5830000000000,5.89699797969009,3.68023396723125,12.3520000000000,3.48178964169130,0.0833317657261603,3.42608486987182,0.0824498112619623,3.25601627379591,0.0888974771527359,3.28434347384588,0.0952832265611401,0.0280125618290221,49.2241495333333,56.2827656200000
4.26576939225384,13.0140000000000,3.01580569548365,6.49024509748787,27.2150000000000,6.01285964237529,3.87077077129668,13.2210000000000,3.65496414949280,0.0838385677385439,3.44225544218131,0.0830139565412518,3.32457169522846,0.0895496496648529,3.32966329742493,0.102949430661195,0.0273592751918013,50.9406389800000,59.9766156100000
4.29349907442881,13.3220000000000,2.97618787837160,6.59055673409820,26.8720000000000,6.08495824384295,3.98428839408481,14.3550000000000,3.74458718664093,0.0859625395001407,3.46500915617851,0.0847107724376360,3.34290152076274,0.0901956440154365,3.33813084673498,0.111545733962961,0.0306712919569765,52.5951274433333,63.3512879000000
3.95044868745420,10.6150000000000,2.87349516044880,6.39041012404379,26.3210000000000,5.86115276759854,4.19609545871559,14.2160000000000,3.68784760695751,0.0809400612032947,3.21484072893778,0.0779057214803221,3.14031747572124,0.0849688619057003,3.02689078545900,0.115051572475858,0.0323677815537420,54.1894661766667,66.4253909000000
3.92711591933853,10.9900000000000,2.86180321354236,6.41573903397926,25.7640000000000,5.89786650625805,4.23113399797115,14.5090000000000,3.73121512795090,0.0788004105330395,3.21526127357955,0.0764034533607550,3.09266807530173,0.0830849166328361,3.04404823885135,0.117262337389453,0.0330722344597516,55.7254602500000,69.2167571900000
