2.5039,6.974,1.6977,2.8114,11.453,2.4989,1.4523,5.565,1.4112,0.076008,3.0407,0.076204,3.0353,0.07894,3.03,0.031739,0.011924
2.5039,6.974,1.6977,2.8114,11.453,2.4989,1.4523,5.565,1.4112,0.076008,3.0407,0.076204,3.0353,0.07894,3.03,0.031739,0.011924
3.5827,9.765,2.6111,4.8845,19.054,4.4938,2.2215,7.866,2.1286,0.083401,3.1219,0.080641,3.0336,0.086471,3.0513,0.056294,0.01797
4.2697,11.524,3.1355,5.9669,23.878,5.503,2.8719,10.008,2.7291,0.084174,3.2141,0.081514,3.1221,0.088409,3.1438,0.07463,0.024345
3.7905,11.112,2.8576,5.8572,20.085,5.4858,3.1242,10.688,2.8077,0.083719,3.1951,0.08145,3.0689,0.089046,3.0824,0.074917,0.023768
3.9117,11.28,2.8273,5.9429,22.321,5.4625,3.4404,11.036,3.0573,0.083277,3.1825,0.081099,3.0372,0.087135,3.0354,0.086377,0.029264
4.0075,12.29,2.8238,6.0776,22.92,5.5421,3.6668,11.658,3.2432,0.084863,3.1824,0.082534,3.0678,0.088801,3.0349,0.09609,0.032436
4.1623,12.195,2.8769,6.2495,23.758,5.665,3.9221,12.804,3.4645,0.085059,3.1453,0.082261,3.0263,0.088359,3.0027,0.10361,0.034127
3.8554,11.627,2.467,5.9991,25.026,5.4313,3.5553,11.341,3.5479,0.08676,3.078,0.08419,2.9829,0.088772,2.9775,0.11489,0.03687
3.9767,11.687,2.5104,6.1432,26.313,5.5062,3.8052,11.997,3.7869,0.085709,3.1257,0.083265,3.0368,0.088032,3.03,0.12009,0.03839
4.0489,12.517,2.5327,6.1761,25.019,5.4893,3.9152,11.787,3.8858,0.083291,3.1122,0.080637,2.9893,0.08562,3.0395,0.11597,0.039593
4.1801,12.548,2.5681,6.3222,26.644,5.58,4.1358,12.828,4.0921,0.083824,3.1714,0.081064,3.0258,0.086186,3.053,0.12159,0.039548
3.8699,12.041,2.3021,5.819,26.165,5.1702,4.1864,13.28,3.892,0.089633,3.1166,0.088035,3.0984,0.094439,3.0477,0.11927,0.039376
